name, #cases, avgTAT, avgWT, avgRT, nCS
SJF,4,100.000000,50.000000,50.000000,3
RR,4,110.000000,60.000000,45.000000,5
DRRHA,4,106.250000,56.250000,41.250000,7
MDRRHA,4,107.500000,57.500000,42.500000,7
NDRRHA,4,104.250000,54.250000,34.250000,5
HRRNHA,4,100.000000,50.000000,50.000000,5
SJF,5,85.500000,32.000000,32.000000,3
RR,5,95.500000,42.000000,24.500000,6
DRRHA,5,92.000000,38.500000,21.250000,9
MDRRHA,5,94.250000,40.750000,23.250000,6
NDRRHA,5,97.500000,44.000000,22.000000,6
HRRNHA,5,85.500000,32.000000,32.000000,5
SJF,6,120.500000,60.000000,60.000000,3
RR,6,150.500000,90.000000,36.500000,6
DRRHA,6,126.750000,66.250000,48.750000,8
MDRRHA,6,129.250000,68.750000,51.250000,8
NDRRHA,6,120.500000,60.000000,60.000000,4
HRRNHA,6,120.500000,60.000000,60.000000,4
SJF,7,75.500000,22.000000,22.000000,3
RR,7,85.500000,32.000000,14.500000,6
DRRHA,7,76.500000,23.000000,22.750000,9
MDRRHA,7,76.500000,23.000000,22.750000,10
NDRRHA,7,75.500000,22.000000,22.000000,4
HRRNHA,7,75.500000,22.000000,22.000000,4
