name, #cases, avgTAT, avgWT, avgRT, nCS
SJF,10,536.200012,385.000000,385.000000,9
RR,10,935.299988,784.099976,32.700001,156
DRRHA,10,647.200012,496.000000,355.000000,19
MDRRHA,10,571.700012,420.500000,352.799988,15
NDRRHA,10,571.400024,420.200012,349.100006,13
HRRNHA,10,689.500000,538.299988,538.299988,10
SJF,50,3276.320068,3093.959961,3093.959961,49
RR,50,6204.680176,6022.319824,232.479996,933
DRRHA,50,3893.719971,3711.360107,2227.540039,97
MDRRHA,50,3864.280029,3681.919922,2188.899902,96
NDRRHA,50,3610.939941,3428.580078,2485.000000,67
HRRNHA,50,3833.979980,3651.620117,2781.100098,64
SJF,100,6930.910156,6729.470215,6729.470215,99
RR,100,13591.790039,13390.349609,485.339996,2055
DRRHA,100,8461.820312,8260.379883,5578.120117,180
MDRRHA,100,8616.860352,8415.419922,5161.080078,196
NDRRHA,100,7524.220215,7322.779785,5599.770020,123
HRRNHA,100,9393.870117,9192.429688,6446.890137,129
SJF,150,10625.740234,10422.733398,10422.733398,149
RR,150,20963.439453,20760.433594,739.580017,3106
DRRHA,150,13169.506836,12966.500000,8575.480469,276
MDRRHA,150,13341.886719,13138.879883,8223.093750,299
NDRRHA,150,11464.266602,11261.259766,8843.593750,184
HRRNHA,150,14495.879883,14292.873047,11811.433594,176
SJF,200,14065.620117,13861.820312,13861.820312,199
RR,200,27874.125000,27670.324219,989.655029,4161
DRRHA,200,17724.814453,17521.015625,9567.750000,402
MDRRHA,200,17558.314453,17354.515625,10132.080078,392
NDRRHA,200,16035.259766,15831.459961,11702.389648,246
HRRNHA,200,16404.205078,16200.405273,12216.865234,249
SJF,250,17592.736328,17388.236328,17388.236328,249
RR,250,34914.500000,34710.000000,1239.728027,5222
DRRHA,250,22418.232422,22213.732422,11873.259766,505
MDRRHA,250,22144.292969,21939.792969,12682.511719,498
NDRRHA,250,19838.275391,19633.775391,15072.223633,313
HRRNHA,250,20315.980469,20111.480469,15575.391602,307
SJF,300,20854.750000,20651.904297,20651.904297,299
RR,300,41445.503906,41242.656250,1489.846680,6220
DRRHA,300,26663.146484,26460.300781,14174.690430,613
MDRRHA,300,26177.552734,25974.707031,15234.026367,595
NDRRHA,300,24205.480469,24002.632812,17185.746094,382
HRRNHA,300,24233.826172,24030.980469,18018.199219,374
SJF,350,24091.253906,23888.380859,23888.380859,349
RR,350,47941.941406,47739.070312,1737.945679,7261
DRRHA,350,30847.683594,30644.808594,16145.865234,725
MDRRHA,350,30344.580078,30141.705078,17300.734375,696
NDRRHA,350,27327.000000,27124.125000,20776.140625,432
HRRNHA,350,27236.322266,27033.449219,21364.396484,428
SJF,400,28347.898438,28140.582031,28140.582031,399
RR,400,56443.871094,56236.550781,1987.952515,8476
DRRHA,400,36324.261719,36116.945312,18837.460938,816
MDRRHA,400,35512.136719,35304.824219,20348.607422,800
NDRRHA,400,31934.609375,31727.294922,24695.457031,482
HRRNHA,400,32612.037109,32404.722656,23946.998047,500
SJF,450,31486.857422,31280.980469,31280.980469,449
RR,450,62742.730469,62536.851562,2239.762207,9473
DRRHA,450,40056.523438,39850.644531,21081.031250,920
MDRRHA,450,39675.980469,39470.105469,22267.228516,923
NDRRHA,450,35362.980469,35157.101562,25748.515625,568
HRRNHA,450,35810.597656,35604.718750,26451.960938,558
SJF,500,35062.363281,34855.585938,34855.585938,499
RR,500,69860.226562,69653.437500,2489.793945,10569
DRRHA,500,44433.246094,44226.468750,23708.687500,1013
MDRRHA,500,43857.070312,43650.292969,24797.849609,990
NDRRHA,500,39117.886719,38911.109375,30332.324219,597
HRRNHA,500,39707.761719,39500.980469,30405.210938,626
