Arrival Time,Burst time
68,179
78,340
91,143
37,264
55,216
66,36
19,128
98,203
2,271
21,399
48,258
56,311
27,111
99,87
46,103
7,213
70,251
25,49
31,168
27,389
11,264
57,316
28,41
5,197
65,36
61,179
21,223
69,345
32,163
44,334
39,111
63,29
79,367
60,287
66,277
60,307
18,22
6,252
15,212
30,233
76,236
43,92
16,333
74,134
67,183
64,81
55,113
27,38
9,303
40,162
95,253
4,67
60,155
88,67
59,149
72,198
72,231
39,232
17,323
17,329
47,207
5,206
73,286
75,219
46,364
30,381
16,244
50,294
38,177
78,13
16,217
75,93
63,81
91,382
72,301
13,105
87,51
8,400
2,269
32,193
41,36
30,209
65,226
27,132
98,151
68,302
67,323
79,244
9,125
26,274
52,166
87,223
99,262
62,279
4,266
91,91
79,383
52,197
76,190
62,198
43,68
26,55
22,277
34,344
37,66
42,183
52,16
91,45
13,275
20,378
48,191
33,384
93,204
88,316
99,271
21,156
82,36
62,262
25,183
79,68
44,38
15,310
57,79
14,94
23,234
48,258
50,95
21,184
14,287
68,17
99,227
66,224
24,13
83,186
38,141
70,145
65,180
4,160
31,255
91,286
66,103
32,281
59,86
38,181
19,265
6,86
98,312
59,35
62,21
29,400
90,281
45,380
26,357
6,386
14,49
51,362
71,217
34,330
3,303
66,357
21,328
53,97
93,69
48,308
87,388
43,363
89,86
38,69
15,193
44,365
40,84
98,271
98,185
32,323
93,248
80,175
94,190
63,376
38,366
42,246
72,353
64,136
58,311
82,147
16,131
28,326
39,215
12,152
74,259
34,85
60,296
89,112
30,103
74,214
49,326
43,175
83,255
53,80
49,267
86,126
15,396
14,186
15,147
66,238
98,355
60,327
43,276
3,398
90,96
97,369
99,359
92,358
20,120
57,132
51,211
86,372
38,218
90,275
62,53
77,247
74,119
97,55
79,351
47,271
77,66
97,315
27,162
92,133
35,346
20,367
44,116
76,344
92,35
51,257
39,353
77,55
21,370
49,246
59,27
86,23
68,59
21,348
93,214
61,83
66,42
39,118
34,49
5,358
45,348
82,122
66,57
99,296
61,104
53,37
9,148
67,175
42,204
27,293
77,370
88,280
56,321
46,337
93,28
10,344
38,167
5,230
6,14
65,317
52,199
57,139
30,214
68,321
63,271
71,328
62,377
46,246
73,182
98,299
54,109
78,166
99,316
64,289
28,270
61,153
64,80
91,183
62,328
94,68
27,18
21,326
45,147
88,96
36,327
13,50
77,109
90,324
20,129
68,284
52,275
86,120
31,86
32,115
24,72
16,111
96,55
69,224
81,268
54,182
82,201
28,382
70,87
85,337
11,126
96,261
71,197
9,33
94,198
96,259
40,160
58,112
82,247
9,173
87,152
20,29
84,207
84,252
52,380
53,301
38,356
92,186
70,235
99,253
97,103
11,60
38,109
54,100
10,107
71,90
36,318
13,191
94,41
22,32
3,263
87,56
68,204
19,251
19,98
90,386
10,303
9,161
4,124
58,361
34,160
53,14
41,62
64,257
64,225
35,108
96,165
35,78
68,308
5,320
86,197
35,43
92,251
26,389
10,205
30,196
32,400
63,290
59,193
70,17
16,211
36,282
63,39
86,42
48,253
70,171
11,173
8,221
83,39
11,233
22,334
80,125
69,261
48,63
90,340
42,332
66,304
96,368
32,186
73,286
75,274
20,169
57,365
8,346
69,101
67,230
15,205
89,380
19,16
55,131
5,387
82,341
60,48
42,26
65,365
38,226
100,339
71,132
21,213
83,86
32,15
53,380
63,218
2,49
78,186
23,302
22,218
80,373
28,164
83,72
99,340
41,74
90,343
54,339
10,199
43,312
4,340
90,166
39,228
3,212
51,124
45,370
85,167
51,365
13,199
79,169
93,283
86,338
17,84
10,348
63,251
11,182
5,265
34,56
65,288
59,50
68,231
79,298
39,369
10,353
44,154
79,287
32,158
74,184
12,100
19,238
92,15
79,169
78,159
88,66
91,299
93,136
41,159
30,396
77,253
94,167
29,100
38,387
28,66
48,166
96,218
12,49
55,237
32,50
17,242
43,196
34,329
56,234
20,92
23,178
57,179
91,350
70,302
89,165
75,75
45,221
14,17
94,57
60,257
34,199
31,398
51,267
85,390
94,354
85,285
55,42
53,182
53,10
41,199
59,193
36,75
97,42
61,257
67,131
86,192
43,92
9,10
87,321
70,153
84,15
68,289
71,95
90,279
59,106
34,114
99,61
22,144
30,304
83,357
77,287
22,106
77,186
62,374
96,250
51,110
49,256
59,281
98,167
36,85
28,130
60,280
75,256
10,107
39,26
11,217
33,78
46,214
18,350
8,249
45,116
30,344
21,71
52,111
4,272
83,98
22,332
44,136
74,200
53,308
28,298
77,258
95,107
14,297
4,142
43,128
8,59
14,13
11,371
25,365
23,159
62,284
41,272
73,59
96,88
75,363
10,358
87,157
37,107
80,245
79,254
34,17
95,330
83,212
63,365
31,56
62,379
99,372
36,47
25,172
2,136
91,340
63,380
79,295
75,277
62,260
20,133
84,296
72,71
66,307
62,45
87,388
79,248
73,359
42,85
100,396
63,104
37,97
20,167
33,315
27,338
94,170
89,167
99,311
95,107
87,348
18,276
16,392
66,82
79,94
9,132
26,304
3,153
25,246
27,159
91,225
38,160
6,270
66,15
82,327
10,146
3,289
38,384
42,208
43,270
47,177
48,342
56,265
54,207
52,154
78,277
30,48
56,28
58,349
22,264
56,248
23,174
56,206
9,74
86,46
22,277
25,65
39,216
30,11
75,176
33,97
12,268
81,206
27,244
51,88
6,63
63,19
40,377
32,281
34,226
93,125
48,26
2,343
73,243
41,17
4,374
64,13
45,260
60,318
62,215
46,123
7,255
72,176
74,223
42,84
7,301
95,93
88,49
83,360
46,331
88,355
85,44
65,283
52,76
9,335
37,294
25,313
86,308
64,32
73,248
17,361
95,211
41,207
62,109
80,389
69,237
2,388
51,26
98,83
3,213
6,260
12,143
61,263
7,148
43,342
37,222
70,273
37,110
34,57
68,25
59,357
26,304
39,323
22,182
27,39
85,70
44,106
66,40
54,343
94,71
35,251
37,216
75,84
86,307
4,250
85,69
81,187
55,276
44,119
61,254
35,378
78,231
11,281
46,392
76,361
63,263
2,394
4,74
47,209
24,255
38,322
45,173
8,31
38,212
39,62
31,153
92,282
49,60
20,317
31,29
83,328
62,348
67,86
62,247
28,399
87,26
3,64
38,97
60,237
92,272
47,292
43,207
66,262
77,24
39,85
46,303
65,130
74,302
64,343
79,48
5,243
12,291
6,232
18,101
84,366
56,381
19,211
94,286
55,322
83,88
33,51
25,251
71,18
53,24
30,55
5,330
17,157
79,99
53,153
43,78
13,312
64,139
14,133
59,293
20,238
50,314
35,150
22,82
12,234
17,198
87,174
73,134
2,390
81,110
26,231
89,147
84,132
37,13
33,271
17,356
40,174
32,345
82,380
29,157
85,89
21,80
37,129
36,342
59,215
47,333
6,51
39,251
55,231
9,112
23,10
77,122
64,331
81,359
4,399
3,13
41,296
22,43
59,257
82,324
75,334
93,231
53,111
55,316
67,76
87,117
20,11
70,165
20,20
22,344
77,90
54,346
2,31
95,97
88,27
87,303
50,282
54,369
5,365
75,324
76,400
59,323
38,136
50,19
54,296
46,194
16,163
66,346
68,32
75,160
32,65
81,27
31,282
29,367
28,159
77,105
33,364
37,284
68,360
5,380
17,376
43,399
23,165
76,268
65,331
84,253
22,283
45,201
74,208
12,314
45,25
50,362
70,296
93,250
17,305
7,121
61,90
26,265
56,372
68,324
48,147
66,115
81,301
86,292
71,344
28,369
31,115
20,279
61,251
78,37
11,83
42,141
64,131
77,174
52,44
7,228
45,271
78,55
99,133
85,393
8,356
77,18
73,347
76,105
22,179
34,62
60,94
98,312
46,44
51,166
97,240
77,86
98,282
22,241
5,191
17,104
72,171
78,311
65,23
35,247
66,41
6,172
87,395
12,339
95,30
39,294
15,54
33,199
90,349
78,16
21,330
19,316
89,85
77,366
79,277
23,357
21,288
65,199
13,335
51,45
69,19
17,141
38,200
81,98
91,226
18,276
74,336
56,360
20,181
69,166
31,182
64,131
25,184
50,387
76,190
63,203
26,18
66,85
34,361
14,162
66,49
95,146
84,79
16,107
69,260
67,391
52,369
44,31
39,363
84,84
27,398
30,137
57,98
63,378
46,327
86,371
95,290
82,353
72,348
14,149
10,63
84,325
36,276
91,178
58,380
7,381
23,22
16,117
43,36
88,333
25,63
93,263
35,192
26,104
62,380
92,195
64,186
98,314
80,200
49,57
59,325
81,83
40,181
66,208
62,205
55,254
22,372
54,13
59,394
25,87
100,148
33,395
22,198
28,75
82,384
88,391
65,129
91,270
57,70
58,177
74,223
13,96
36,379
50,191
13,192
74,39
55,123
15,334
8,244
12,128
9,64
37,155
45,158
34,384
17,354
87,89
58,44
99,189
28,57
24,325
51,66
46,100
59,286
84,314
41,279
80,56
30,270
16,212
74,29
8,365
70,358
61,55
5,176
93,246
97,158
52,108
16,312
18,388
13,220
46,313
54,63
82,131
84,92
32,295
87,342
51,205
58,271
15,178
93,98
3,126
22,398
19,330
97,132
62,376
49,284
55,347
70,53
15,100
37,195
30,368
89,244
18,109
42,183
71,74
40,240
83,214
86,301
70,66
33,321
85,74
87,95
26,17
94,305
4,172
15,166
18,327
2,23
51,278
87,109
30,131
28,199
49,333
12,180
69,133
88,285
92,220
96,61
86,307
90,170
50,307
25,72
39,269
20,48
35,311
53,18
79,122
61,286
8,327
68,291
7,332
27,357
99,144
81,194
26,273
42,53
19,63
71,338
87,164
36,334
31,18
24,391
91,51
37,289
50,383
24,336
70,165
81,315
56,194
27,137
24,103
28,75
63,64
11,218
33,12
29,38
48,343
8,245
78,164
30,294
93,22
92,220
58,218
98,39
28,395
39,22
78,272
97,169
67,149
11,110
78,124
55,117
74,106
99,128
20,300
13,97
55,209
22,250
59,112
87,366
65,39
54,203
24,21
31,218
38,154
83,79
83,105
58,232
3,35
44,88
66,338
7,293
72,307
58,136
12,291
57,93
17,125
46,133
73,85
36,115
31,34
6,174
55,341
23,147
97,371
7,271
52,230
2,76
77,201
17,379
92,276
39,349
50,390
90,179
27,317
60,243
82,265
13,33
54,149
82,190
65,142
58,25
68,166
96,340
7,188
92,323
31,157
60,228
21,167
62,299
64,319
28,265
46,395
77,394
81,185
15,393
44,340
95,23
46,175
10,384
63,326
82,127
65,98
16,79
37,161
49,105
57,204
20,169
78,320
57,230
99,258
99,60
94,175
13,171
44,101
23,140
89,247
54,205
12,330
27,103
89,151
27,190
85,300
25,269
73,51
17,48
9,268
58,276
36,270
93,190
6,379
89,255
34,19
98,16
27,30
5,310
87,240
61,172
49,329
40,330
96,183
5,393
39,230
70,376
23,128
54,340
37,208
72,394
3,139
65,173
14,345
78,199
55,397
60,249
14,131
62,289
50,73
39,92
3,73
86,135
89,254
76,34
80,90
15,264
29,102
94,75
99,112
95,112
51,301
64,58
4,188
38,240
3,339
55,348
43,290
78,341
77,64
16,62
17,113
54,110
57,62
33,347
22,237
63,377
47,204
62,288
3,34
49,27
36,373
14,12
49,162
45,193
68,121
67,343
15,188
24,89
15,336
54,10
7,343
27,193
46,295
22,230
89,21
58,351
61,181
53,289
65,35
30,378
34,316
80,381
78,155
64,233
46,17
3,199
14,87
76,152
45,152
72,220
96,310
27,357
13,19
40,239
26,16
25,28
53,158
39,275
29,212
54,375
64,383
22,328
47,171
12,41
37,11
67,221
48,249
20,347
5,149
53,341
40,186
56,305
94,334
56,199
12,230
24,105
76,371
7,192
65,262
18,373
52,146
30,149
66,306
40,61
42,227
9,155
39,185
54,192
46,80
60,147
97,335
11,15
8,264
87,394
70,115
85,271
61,49
79,312
37,12
90,249
14,117
58,169
72,394
72,347
72,375
79,128
50,165
38,229
79,57
11,110
43,344
100,79
59,379
76,353
38,284
56,175
91,253
91,380
46,183
7,397
75,337
53,200
24,368
80,87
34,200
81,245
100,227
87,351
34,300
66,137
27,27
93,148
45,307
52,388
12,311
70,121
61,151
53,297
66,98
99,364
80,16
65,315
88,255
23,196
44,10
97,38
66,189
60,241
32,173
3,284
98,281
23,251
74,169
80,151
61,15
17,387
18,64
36,95
71,132
2,357
17,54
95,72
99,30
37,325
34,330
62,146
52,399
57,118
91,199
67,316
79,72
28,350
20,309
84,203
7,244
15,34
31,94
57,75
45,28
93,221
100,381
61,123
81,197
82,108
8,135
22,249
36,297
23,397
23,17
34,364
29,297
74,76
71,378
