name, #cases, avgTAT, avgWT, avgRT, nCS
NDRRHA,5,158.000000,100.400002,68.000000,6
HRRNHA,5,166.000000,108.400002,63.599998,6
NDRRHA,6,93.199997,51.400002,51.400002,6
HRRNHA,6,126.199997,84.400002,39.599998,9
NDRRHA,7,154.399994,94.599998,94.599998,5
HRRNHA,7,182.399994,122.599998,122.599998,5
NDRRHA,8,102.400002,56.000000,56.000000,5
HRRNHA,8,102.400002,56.000000,56.000000,5
NDRRHA,9,142.000000,90.800003,90.800003,5
HRRNHA,9,171.000000,119.800003,87.400002,6
NDRRHA,10,170.600006,108.599998,108.599998,5
HRRNHA,10,182.199997,120.199997,120.199997,6
