name, #cases, avgTAT, avgWT, avgRT, nCS
SJF,10,1096.199951,844.799988,844.799988,9
RR,10,1876.900024,1625.500000,180.000000,65
DRRHA,10,1295.300049,1043.900024,592.400024,20
MDRRHA,10,1261.599976,1010.200012,678.900024,19
NDRRHA,10,1131.300049,879.900024,800.200012,11
HRRNHA,10,1473.099976,1221.699951,656.000000,16
SJF,50,5258.259766,5005.200195,5005.200195,49
RR,50,10256.700195,10003.639648,980.000000,338
DRRHA,50,6245.220215,5992.160156,3893.800049,104
MDRRHA,50,6200.140137,5947.080078,3999.820068,101
NDRRHA,50,5463.500000,5210.439941,4719.040039,54
HRRNHA,50,6400.339844,6147.279785,5952.080078,52
SJF,100,10204.190430,9953.190430,9953.190430,99
RR,100,20124.289062,19873.289062,1980.000000,678
DRRHA,100,12158.620117,11907.620117,7659.450195,198
MDRRHA,100,12114.299805,11863.299805,7826.479980,196
NDRRHA,100,10671.219727,10420.219727,9513.980469,109
HRRNHA,100,12898.070312,12647.070312,11443.410156,107
SJF,150,14817.006836,14569.693359,14569.693359,149
RR,150,29275.826172,29028.513672,2980.000000,1004
DRRHA,150,17706.773438,17459.460938,11237.113281,302
MDRRHA,150,17661.607422,17414.292969,11318.879883,296
NDRRHA,150,16145.919922,15898.606445,13046.513672,179
HRRNHA,150,18912.574219,18665.259766,17266.513672,161
SJF,200,19752.339844,19505.330078,19505.330078,199
RR,200,39180.398438,38933.390625,3980.000000,1339
DRRHA,200,23513.279297,23266.269531,15143.309570,398
MDRRHA,200,23554.455078,23307.445312,15167.565430,396
NDRRHA,200,20577.240234,20330.230469,18750.390625,216
HRRNHA,200,25079.794922,24832.785156,22517.089844,219
SJF,250,24971.503906,24722.851562,24722.851562,249
RR,250,49696.339844,49447.687500,4980.000000,1683
DRRHA,250,29759.871094,29511.220703,19209.351562,500
MDRRHA,250,29568.539062,29319.888672,19394.851562,493
NDRRHA,250,25894.011719,25645.359375,23717.171875,279
HRRNHA,250,31684.308594,31435.656250,27973.484375,278
SJF,300,30147.095703,29897.466797,29897.466797,299
RR,300,60048.546875,59798.921875,5980.000000,2026
DRRHA,300,35886.644531,35637.011719,23356.189453,606
MDRRHA,300,35862.695312,35613.066406,23356.189453,592
NDRRHA,300,31403.599609,31153.970703,28474.392578,335
HRRNHA,300,38100.925781,37851.296875,35380.519531,321
SJF,350,35329.496094,35078.976562,35078.976562,349
RR,350,70288.609375,70038.093750,6980.000000,2367
DRRHA,350,42071.070312,41820.550781,27420.005859,702
MDRRHA,350,42058.921875,41808.406250,27420.005859,698
NDRRHA,350,36726.550781,36476.035156,33717.605469,381
HRRNHA,350,44350.441406,44099.921875,39528.351562,383
SJF,400,40265.343750,40015.562500,40015.562500,399
RR,400,80116.437500,79866.656250,7980.000000,2698
DRRHA,400,48115.484375,47865.703125,31256.107422,802
MDRRHA,400,47810.328125,47560.550781,31443.662109,797
NDRRHA,400,41793.308594,41543.531250,37983.175781,437
HRRNHA,400,51026.300781,50776.519531,45647.933594,443
SJF,450,45665.574219,45413.644531,45413.644531,449
RR,450,90916.859375,90664.921875,8980.000000,3061
DRRHA,450,54746.328125,54494.398438,35241.671875,922
MDRRHA,450,54316.664062,54064.730469,35619.085938,890
NDRRHA,450,47740.691406,47488.765625,42842.496094,505
HRRNHA,450,56993.460938,56741.527344,52140.425781,488
SJF,500,50578.816406,50327.863281,50327.863281,499
RR,500,100571.468750,100320.531250,9980.000000,3386
DRRHA,500,60776.785156,60525.832031,39056.718750,1035
MDRRHA,500,60355.929688,60104.980469,39498.726562,1004
NDRRHA,500,53358.000000,53107.046875,47460.542969,559
HRRNHA,500,63734.609375,63483.660156,57362.089844,550
