"Arrival Time", "Burst Time"
41, 477
37, 309
76, 293
76, 408
77, 438
36, 494
64, 269
83, 153
33, 119
82, 413
80, 224
52, 331
12, 415
12, 161
95, 154
89, 468
42, 259
88, 198
62, 144
16, 371
44, 432
28, 389
12, 491
104, 477
72, 367
100, 185
53, 284
78, 445
10, 370
68, 237
34, 389
15, 408
58, 335
16, 453
89, 113
86, 266
107, 494
17, 451
48, 401
90, 352
30, 222
47, 163
17, 305
70, 459
37, 370
106, 404
70, 301
22, 308
47, 319
23, 368
94, 390
44, 133
46, 141
47, 226
53, 317
89, 163
50, 368
89, 299
84, 491
68, 153
72, 354
67, 122
17, 270
92, 496
51, 396
75, 225
48, 351
20, 474
103, 147
11, 288
75, 132
13, 257
10, 382
66, 426
84, 166
90, 236
30, 389
20, 379
69, 392
86, 452
50, 241
87, 378
102, 288
15, 337
97, 358
87, 152
100, 281
71, 242
25, 169
79, 341
45, 101
39, 155
100, 139
97, 402
94, 263
64, 124
66, 384
13, 300
34, 160
48, 311
28, 115
26, 260
58, 477
12, 264
57, 471
15, 234
34, 387
52, 315
36, 129
79, 310
102, 375
97, 148
69, 142
58, 235
12, 338
57, 472
64, 215
42, 454
54, 486
28, 143
20, 176
88, 334
73, 420
11, 341
59, 170
14, 241
56, 291
51, 157
43, 441
103, 435
90, 192
17, 486
17, 491
50, 351
87, 159
57, 387
97, 125
84, 150
55, 175
53, 346
56, 347
49, 144
48, 180
11, 371
31, 394
16, 253
96, 165
49, 245
66, 180
59, 486
101, 296
83, 278
83, 447
90, 218
85, 123
26, 221
81, 355
75, 409
45, 318
43, 408
23, 439
24, 151
67, 253
107, 465
95, 198
61, 376
56, 277
16, 119
86, 286
47, 151
72, 153
34, 485
70, 341
104, 247
70, 127
17, 225
29, 121
86, 376
85, 425
103, 460
85, 245
99, 321
32, 295
50, 498
44, 429
12, 196
44, 226
43, 294
78, 427
51, 480
17, 449
15, 278
80, 333
16, 197
69, 299
20, 186
106, 299
18, 318
56, 248
79, 332
88, 271
90, 112
59, 413
69, 269
103, 200
59, 152
11, 354
40, 424
98, 288
31, 299
49, 131
47, 336
92, 245
16, 181
104, 275
23, 424
108, 294
98, 248
17, 147
27, 400
10, 119
62, 201
83, 234
35, 413
84, 499
74, 314
92, 402
60, 265
109, 108
108, 393
94, 211
79, 134
15, 158
44, 113
15, 104
75, 305
33, 318
69, 348
14, 336
24, 279
45, 230
103, 318
94, 495
45, 484
13, 233
39, 239
54, 499
84, 202
67, 408
77, 214
22, 432
82, 387
12, 231
46, 107
77, 350
96, 255
90, 279
83, 465
36, 360
59, 229
55, 230
31, 241
39, 495
53, 286
65, 362
63, 220
105, 225
17, 397
18, 243
14, 275
55, 142
40, 378
83, 355
105, 399
77, 244
91, 112
36, 302
16, 456
59, 401
104, 456
74, 447
86, 459
34, 136
18, 332
41, 165
18, 177
17, 390
65, 381
108, 250
42, 265
56, 165
40, 172
29, 288
90, 420
99, 175
87, 353
84, 405
74, 499
51, 473
41, 173
48, 291
12, 197
44, 109
40, 232
21, 163
59, 409
90, 431
91, 400
29, 414
30, 309
99, 149
24, 415
65, 279
24, 348
14, 198
83, 194
99, 475
101, 423
94, 222
17, 147
47, 357
66, 317
98, 390
79, 360
14, 390
79, 245
49, 135
70, 346
24, 475
105, 418
83, 468
22, 414
54, 256
100, 380
40, 297
90, 467
16, 336
46, 247
36, 306
17, 430
58, 128
85, 439
73, 236
96, 330
73, 381
10, 188
59, 165
12, 245
31, 244
88, 151
104, 358
80, 400
104, 158
57, 273
26, 106
13, 364
44, 231
14, 150
29, 490
90, 334
33, 432
32, 124
107, 376
32, 318
31, 200
31, 415
20, 243
77, 456
12, 315
39, 118
83, 285
45, 308
26, 139
20, 187
91, 142
31, 256
84, 343
90, 472
81, 402
52, 192
64, 416
69, 364
69, 227
83, 313
104, 402
42, 167
97, 167
37, 455
68, 489
52, 491
41, 415
57, 106
20, 379
40, 282
44, 172
36, 188
98, 286
15, 148
75, 178
71, 211
42, 145
40, 472
74, 410
37, 222
109, 422
75, 431
99, 312
99, 400
54, 319
92, 278
53, 408
76, 332
56, 223
42, 363
11, 145
84, 186
53, 205
68, 207
77, 485
92, 366
69, 347
59, 149
22, 490
59, 108
19, 483
96, 153
101, 152
47, 390
38, 121
63, 381
76, 180
77, 161
47, 125
79, 204
73, 403
32, 322
12, 172
33, 214
24, 272
84, 324
17, 360
39, 451
75, 118
51, 493
49, 446
84, 157
88, 342
29, 215
77, 340
81, 282
53, 194
15, 345
28, 328
22, 232
63, 486
18, 160
57, 189
21, 212
17, 304
67, 198
13, 431
66, 181
35, 375
107, 445
77, 420
37, 310
76, 184
65, 184
23, 419
79, 318
16, 177
40, 205
29, 294
79, 278
108, 326
87, 201
19, 133
45, 287
70, 384
42, 427
14, 359
99, 271
54, 244
17, 309
26, 476
89, 374
16, 261
89, 177
65, 200
65, 406
88, 232
17, 487
75, 242
84, 477
36, 358
66, 283
80, 445
64, 114
52, 213
85, 158
