"Arrival Time", "Burst Time"
100, 488
77, 273
41, 326
45, 297
102, 453
47, 427
21, 148
37, 470
34, 108
14, 121
108, 444
84, 122
49, 227
108, 192
42, 232
35, 374
31, 144
58, 452
80, 383
12, 314
98, 191
52, 351
102, 469
84, 316
39, 278
47, 227
33, 312
11, 314
101, 351
16, 424
45, 132
108, 156
86, 298
71, 399
91, 115
23, 370
16, 355
83, 298
86, 347
77, 205
36, 304
94, 201
78, 385
25, 312
98, 321
46, 124
15, 386
42, 334
95, 493
43, 266
18, 346
98, 167
64, 162
27, 330
19, 284
98, 387
51, 172
98, 361
20, 403
83, 498
87, 261
32, 382
58, 155
26, 233
10, 301
61, 461
10, 340
38, 154
64, 297
46, 215
44, 224
13, 327
107, 491
50, 207
105, 214
15, 472
37, 180
16, 375
97, 375
70, 187
86, 312
58, 128
14, 176
92, 310
36, 419
35, 260
105, 428
97, 292
30, 127
61, 267
103, 457
101, 421
99, 397
58, 176
34, 161
73, 301
35, 312
39, 281
50, 364
101, 166
45, 368
36, 230
107, 265
33, 169
103, 226
98, 386
93, 331
69, 124
38, 360
10, 305
31, 316
16, 198
90, 287
89, 320
13, 322
49, 238
100, 117
79, 339
93, 244
70, 428
80, 148
76, 406
89, 426
92, 460
48, 483
75, 111
61, 223
19, 231
72, 440
13, 366
72, 242
14, 352
70, 325
54, 395
31, 404
33, 244
63, 489
12, 284
77, 384
106, 105
29, 361
78, 470
46, 129
11, 299
79, 457
75, 231
109, 121
46, 311
57, 480
16, 220
94, 381
74, 289
81, 366
36, 190
61, 122
58, 422
94, 116
103, 320
56, 446
29, 467
13, 136
109, 455
68, 487
76, 405
29, 325
35, 255
16, 342
55, 429
18, 371
82, 311
103, 120
44, 229
98, 479
12, 486
87, 373
64, 281
20, 105
98, 468
102, 306
83, 411
41, 350
28, 190
54, 463
81, 205
96, 395
26, 132
25, 102
23, 356
43, 115
52, 311
99, 296
102, 299
63, 132
77, 245
48, 492
18, 322
104, 127
22, 339
52, 335
54, 181
41, 312
23, 498
77, 278
64, 200
104, 149
21, 135
107, 355
96, 451
97, 405
58, 226
59, 157
58, 143
46, 312
44, 478
109, 230
21, 230
105, 176
91, 162
65, 435
72, 101
46, 126
46, 234
91, 274
95, 269
89, 233
57, 428
52, 295
33, 278
69, 210
19, 458
102, 220
99, 187
59, 270
11, 104
67, 316
15, 494
52, 493
90, 175
77, 265
106, 298
60, 143
36, 445
100, 101
85, 249
73, 284
18, 356
67, 249
53, 458
81, 145
72, 380
23, 419
36, 155
22, 406
40, 131
33, 379
39, 374
32, 407
29, 213
18, 394
24, 472
41, 374
90, 340
33, 223
108, 346
30, 212
37, 385
41, 453
50, 395
22, 123
36, 335
12, 255
19, 276
24, 380
51, 374
37, 156
108, 210
40, 478
12, 406
64, 152
62, 226
74, 331
22, 247
47, 404
52, 449
89, 420
94, 233
85, 346
20, 141
88, 251
25, 305
69, 214
77, 142
102, 269
58, 246
83, 152
83, 389
94, 337
46, 473
51, 178
32, 121
108, 158
64, 125
66, 116
76, 435
30, 434
102, 379
58, 412
31, 192
43, 321
49, 307
84, 164
106, 210
63, 233
93, 494
73, 457
77, 214
77, 174
101, 324
100, 210
21, 310
54, 303
52, 144
25, 415
46, 249
47, 427
18, 111
53, 104
31, 296
99, 256
101, 305
23, 210
29, 132
94, 110
66, 327
82, 419
47, 216
33, 131
70, 290
57, 349
101, 184
86, 299
105, 220
66, 268
26, 345
34, 159
60, 489
80, 421
83, 406
94, 282
43, 456
11, 271
35, 276
64, 237
29, 201
96, 310
95, 263
72, 332
45, 170
62, 251
77, 328
73, 418
79, 433
101, 243
49, 175
35, 473
94, 126
106, 109
65, 302
108, 174
14, 185
46, 141
10, 298
84, 135
30, 278
48, 188
17, 401
68, 276
96, 249
29, 478
87, 296
13, 261
85, 499
32, 430
11, 320
66, 157
67, 292
109, 109
53, 425
54, 263
13, 235
61, 210
46, 309
49, 323
69, 258
11, 236
17, 204
59, 182
65, 423
74, 308
105, 420
28, 453
22, 417
72, 155
104, 459
29, 397
104, 170
70, 182
90, 299
67, 291
19, 110
89, 316
76, 180
60, 173
13, 314
44, 198
44, 152
13, 347
31, 418
64, 215
39, 173
74, 375
106, 424
67, 428
85, 267
29, 485
87, 450
63, 296
40, 104
79, 133
28, 155
93, 405
17, 187
62, 128
15, 106
105, 334
42, 160
71, 180
46, 118
18, 112
47, 179
59, 367
39, 154
73, 159
20, 384
54, 281
50, 227
96, 499
76, 338
90, 223
106, 175
19, 280
97, 470
70, 124
99, 320
98, 178
109, 389
55, 380
53, 108
49, 406
55, 435
97, 237
25, 273
46, 281
73, 168
15, 211
54, 314
102, 283
95, 204
17, 226
35, 247
66, 276
46, 202
67, 432
72, 448
48, 407
94, 377
106, 399
60, 233
42, 113
11, 437
34, 397
14, 468
91, 341
83, 340
77, 450
98, 223
36, 476
87, 283
70, 340
42, 150
109, 468
37, 196
77, 477
39, 399
52, 482
99, 119
42, 393
97, 365
44, 112
15, 153
72, 145
38, 141
84, 358
86, 286
108, 360
47, 297
38, 264
103, 147
104, 174
57, 488
19, 188
17, 293
91, 495
68, 167
69, 215
82, 422
23, 252
25, 139
20, 191
35, 208
62, 114
68, 232
41, 203
90, 325
40, 179
23, 239
77, 321
94, 200
78, 442
77, 227
19, 291
11, 174
53, 368
23, 454
70, 391
24, 364
15, 372
106, 136
38, 276
23, 158
17, 479
107, 474
62, 181
84, 420
85, 293
109, 436
46, 453
21, 380
31, 176
96, 233
