name, #cases, avgTAT, avgWT, avgRT, nCS
SJF,10,1280.599976,969.500000,969.500000,9
RR,10,2245.000000,1933.900024,40.200001,314
DRRHA,10,1394.900024,1083.800049,803.400024,19
MDRRHA,10,1495.199951,1184.099976,736.400024,20
NDRRHA,10,1280.599976,969.500000,969.500000,10
HRRNHA,10,1371.500000,1060.400024,1060.400024,10
SJF,50,6094.680176,5794.100098,5794.100098,49
RR,50,11831.879883,11531.299805,239.880005,1528
DRRHA,50,7521.759766,7221.180176,4199.859863,108
MDRRHA,50,7274.479980,6973.899902,4489.859863,99
NDRRHA,50,6094.680176,5794.100098,5794.100098,50
HRRNHA,50,7120.680176,6820.100098,6820.100098,50
SJF,100,11932.379883,11634.929688,11634.929688,99
RR,100,23508.449219,23211.000000,489.750000,3025
DRRHA,100,14602.080078,14304.629883,8778.209961,205
MDRRHA,100,14262.030273,13964.580078,9226.540039,195
NDRRHA,100,12000.719727,11703.269531,11703.269531,100
HRRNHA,100,12930.790039,12633.339844,12633.339844,100
SJF,150,17940.013672,17640.580078,17640.580078,149
RR,150,35515.480469,35216.046875,739.599976,4563
DRRHA,150,21854.005859,21554.574219,13511.686523,308
MDRRHA,150,21337.986328,21038.552734,14160.126953,292
NDRRHA,150,18055.027344,17755.593750,17755.593750,150
HRRNHA,150,18826.580078,18527.146484,18527.146484,150
SJF,200,23820.984375,23520.009766,23520.009766,199
RR,200,47257.890625,46956.914062,989.719971,6115
DRRHA,200,28870.210938,28569.234375,17917.125000,399
MDRRHA,200,28537.300781,28236.324219,18623.310547,393
NDRRHA,200,23937.054688,23636.080078,23636.080078,200
HRRNHA,200,24964.664062,24663.689453,24663.689453,200
SJF,250,29026.035156,28729.775391,28729.775391,249
RR,250,57664.808594,57368.546875,1239.703979,7522
DRRHA,250,35231.468750,34935.207031,21930.671875,502
MDRRHA,250,34668.574219,34372.316406,22564.027344,494
NDRRHA,250,29149.984375,28853.724609,28853.724609,250
HRRNHA,250,30371.707031,30075.447266,30075.447266,250
SJF,300,35010.875000,34713.667969,34713.667969,299
RR,300,69646.117188,69348.906250,1489.706665,9056
DRRHA,300,42478.488281,42181.285156,26344.537109,603
MDRRHA,300,41981.964844,41684.761719,27177.947266,597
NDRRHA,300,35133.613281,34836.406250,34836.406250,300
HRRNHA,300,36824.832031,36527.625000,36527.625000,300
SJF,350,40351.132812,40056.410156,40056.410156,349
RR,350,80312.070312,80017.351562,1739.728516,10476
DRRHA,350,48931.632812,48636.902344,30454.146484,709
MDRRHA,350,48152.753906,47858.027344,31372.115234,690
NDRRHA,350,40477.285156,40182.558594,40182.558594,350
HRRNHA,350,41655.878906,41361.152344,41361.152344,350
SJF,400,45822.589844,45530.003906,45530.003906,399
RR,400,91251.710938,90959.117188,1989.727539,11886
DRRHA,400,55280.929688,54988.339844,35177.093750,803
MDRRHA,400,55210.058594,54917.476562,35498.699219,800
NDRRHA,400,46001.488281,45708.898438,45708.898438,400
HRRNHA,400,47022.933594,46730.351562,46730.351562,400
SJF,450,50676.000000,50386.472656,50386.472656,449
RR,450,100915.093750,100625.570312,2239.635498,13231
DRRHA,450,61022.675781,60733.152344,38904.871094,907
MDRRHA,450,61034.671875,60745.148438,39138.140625,897
NDRRHA,450,50862.703125,50573.179688,50573.179688,450
HRRNHA,450,52621.074219,52331.546875,52331.546875,450
SJF,500,56713.449219,56421.894531,56421.894531,499
RR,500,112962.765625,112671.210938,2489.595947,14800
DRRHA,500,68178.695312,67887.140625,43605.441406,999
MDRRHA,500,68045.125000,67753.578125,43908.968750,987
NDRRHA,500,56897.703125,56606.148438,56606.148438,500
HRRNHA,500,58920.816406,58629.261719,58629.261719,500
