"Arrival Time", "Burst Time"
0, 291
0, 148
0, 141
0, 223
0, 287
0, 107
0, 238
0, 412
0, 322
0, 428
0, 180
0, 262
0, 180
0, 408
0, 474
0, 156
0, 228
0, 148
0, 197
0, 443
0, 159
0, 104
0, 225
0, 204
0, 374
0, 441
0, 414
0, 487
0, 139
0, 438
0, 117
0, 331
0, 486
0, 110
0, 454
0, 273
0, 470
0, 144
0, 186
0, 292
0, 472
0, 266
0, 406
0, 152
0, 126
0, 332
0, 209
0, 254
0, 380
0, 306
0, 149
0, 439
0, 262
0, 275
0, 144
0, 136
0, 216
0, 410
0, 123
0, 256
0, 348
0, 492
0, 439
0, 334
0, 103
0, 345
0, 460
0, 425
0, 390
0, 498
0, 217
0, 314
0, 216
0, 476
0, 367
0, 242
0, 308
0, 428
0, 397
0, 189
0, 186
0, 446
0, 128
0, 349
0, 173
0, 124
0, 385
0, 290
0, 386
0, 361
0, 398
0, 234
0, 353
0, 289
0, 421
0, 308
0, 134
0, 381
0, 233
0, 376
0, 331
0, 303
0, 191
0, 447
0, 279
0, 410
0, 189
0, 487
0, 290
0, 438
0, 128
0, 376
0, 337
0, 109
0, 177
0, 410
0, 133
0, 463
0, 152
0, 420
0, 276
0, 450
0, 106
0, 129
0, 191
0, 427
0, 290
0, 226
0, 260
0, 423
0, 102
0, 491
0, 226
0, 145
0, 390
0, 357
0, 407
0, 480
0, 297
0, 197
0, 370
0, 325
0, 474
0, 207
0, 286
0, 151
0, 470
0, 320
0, 466
0, 122
0, 192
0, 194
0, 425
0, 150
0, 224
0, 116
0, 430
0, 414
0, 242
0, 142
0, 289
0, 197
0, 486
0, 368
0, 194
0, 376
0, 177
0, 102
0, 356
0, 374
0, 151
0, 179
0, 152
0, 477
0, 286
0, 338
0, 481
0, 208
0, 110
0, 447
0, 231
0, 154
0, 142
0, 156
0, 205
0, 218
0, 172
0, 487
0, 484
0, 267
0, 129
0, 225
0, 316
0, 115
0, 493
0, 362
0, 392
0, 171
0, 364
0, 200
0, 397
0, 368
0, 279
0, 401
0, 345
0, 418
0, 240
0, 326
0, 126
0, 202
0, 226
0, 209
0, 257
0, 220
0, 265
0, 314
0, 290
0, 290
0, 301
0, 274
0, 409
0, 330
0, 351
0, 225
0, 298
0, 297
0, 487
0, 190
0, 320
0, 304
0, 242
0, 217
0, 124
0, 374
0, 119
0, 369
0, 244
0, 211
0, 148
0, 270
0, 313
0, 274
0, 380
0, 422
0, 346
0, 497
0, 236
0, 136
0, 239
0, 389
0, 262
0, 148
0, 172
0, 113
0, 225
0, 370
0, 310
0, 165
0, 460
0, 130
0, 369
0, 154
0, 200
0, 393
0, 428
0, 171
0, 214
0, 172
0, 282
0, 262
0, 295
0, 447
0, 388
0, 127
0, 370
0, 234
0, 124
0, 458
0, 270
0, 216
0, 348
0, 384
0, 264
0, 420
0, 398
0, 390
0, 242
0, 160
0, 455
0, 154
0, 143
0, 276
0, 208
0, 195
0, 121
0, 489
0, 266
0, 187
0, 113
0, 400
0, 302
0, 308
0, 299
0, 190
0, 287
0, 121
0, 325
0, 312
0, 480
0, 447
0, 380
0, 280
0, 332
0, 144
0, 152
0, 182
0, 386
0, 294
0, 194
0, 293
0, 348
0, 237
0, 421
0, 408
0, 284
0, 394
0, 397
0, 450
0, 482
0, 411
0, 302
0, 284
0, 171
0, 102
0, 374
0, 359
0, 123
0, 151
0, 123
0, 455
0, 451
0, 403
0, 235
0, 283
0, 399
0, 239
0, 317
0, 286
0, 385
0, 411
0, 431
0, 233
0, 101
0, 353
0, 494
0, 285
0, 247
0, 391
0, 188
0, 181
0, 254
0, 342
0, 317
0, 278
0, 344
0, 144
0, 137
0, 320
0, 195
0, 112
0, 275
0, 146
0, 415
0, 363
0, 281
0, 314
0, 102
0, 450
0, 452
0, 388
0, 362
0, 384
0, 473
0, 315
0, 237
0, 419
0, 452
0, 336
0, 311
0, 492
0, 418
0, 417
0, 335
0, 235
0, 195
0, 179
0, 231
0, 184
0, 399
0, 327
0, 196
0, 127
0, 325
0, 463
0, 390
0, 459
0, 230
0, 344
0, 409
0, 182
0, 184
0, 223
0, 466
0, 158
0, 390
0, 155
0, 477
0, 343
0, 344
0, 240
0, 335
0, 262
0, 110
0, 170
0, 349
0, 157
0, 202
0, 481
0, 242
0, 453
0, 260
0, 290
0, 480
0, 437
0, 254
0, 370
0, 396
0, 384
0, 215
0, 258
0, 418
0, 299
0, 381
0, 385
0, 309
0, 224
0, 392
0, 239
0, 467
0, 236
0, 331
0, 254
0, 350
0, 341
0, 277
0, 152
0, 399
0, 379
0, 133
0, 493
0, 332
0, 245
0, 235
0, 265
0, 182
0, 389
0, 135
0, 431
0, 225
0, 202
0, 189
0, 144
0, 354
0, 422
0, 381
0, 115
0, 146
0, 273
0, 254
0, 465
0, 410
0, 438
0, 220
0, 212
0, 279
0, 397
0, 264
0, 130
0, 228
0, 249
0, 475
0, 412
0, 394
0, 211
0, 177
0, 429
0, 100
0, 213
0, 312
0, 178
0, 267
0, 353
0, 174
0, 473
0, 275
0, 455
0, 489
0, 274
0, 180
0, 195
0, 191
0, 442
0, 133
0, 311
0, 155
0, 265
0, 160
0, 319
0, 295
0, 240
0, 469
0, 271
0, 153
0, 315
0, 334
0, 230
0, 196
0, 286
0, 295
0, 408
0, 364
0, 463
0, 261
0, 438
0, 436
0, 389
0, 393
0, 377
0, 115
0, 474
0, 473
0, 206
0, 416
0, 458
0, 370
0, 423
0, 223
0, 430
0, 243
0, 371
