name, #cases, avgTAT, avgWT, avgRT, nCS
SJF,10,1132.900024,873.200012,873.200012,9
RR,10,1996.599976,1736.900024,45.000000,264
DRRHA,10,1273.800049,1014.099976,695.500000,18
MDRRHA,10,1218.699951,959.000000,766.099976,15
NDRRHA,10,1132.900024,873.200012,873.200012,10
HRRNHA,10,1244.800049,985.099976,985.099976,10
SJF,50,5391.540039,5111.060059,5111.060059,49
RR,50,10497.419922,10216.940430,245.000000,1424
DRRHA,50,6365.279785,6084.799805,4005.639893,99
MDRRHA,50,6402.020020,6121.540039,3841.979980,98
NDRRHA,50,5391.540039,5111.060059,5111.060059,50
HRRNHA,50,6912.459961,6631.979980,6631.979980,50
SJF,100,11413.919922,11120.150391,11120.150391,99
RR,100,22509.169922,22215.400391,495.000000,2980
DRRHA,100,13498.620117,13204.849609,8601.259766,190
MDRRHA,100,13539.410156,13245.639648,8508.139648,192
NDRRHA,100,11413.919922,11120.150391,11120.150391,100
HRRNHA,100,14367.309570,14073.540039,14073.540039,100
SJF,150,17186.873047,16890.154297,16890.154297,149
RR,150,34025.375000,33728.652344,745.000000,4511
DRRHA,150,20649.640625,20352.919922,12875.646484,296
MDRRHA,150,20609.806641,20313.085938,12767.606445,297
NDRRHA,150,17186.873047,16890.154297,16890.154297,150
HRRNHA,150,21817.740234,21521.019531,21521.019531,150
SJF,200,22164.140625,21873.800781,21873.800781,199
RR,200,43964.285156,43673.945312,995.000000,5891
DRRHA,200,26569.345703,26279.005859,16651.414062,398
MDRRHA,200,26497.074219,26206.734375,16627.650391,388
NDRRHA,200,22164.140625,21873.800781,21873.800781,200
HRRNHA,200,29279.300781,28988.960938,28988.960938,200
SJF,250,28069.748047,27779.439453,27779.439453,249
RR,250,55726.828125,55436.519531,1245.000000,7360
DRRHA,250,33574.562500,33284.257812,21361.703125,502
MDRRHA,250,33639.441406,33349.132812,21331.199219,500
NDRRHA,250,28069.748047,27779.439453,27779.439453,250
HRRNHA,250,36602.546875,36312.238281,36312.238281,250
SJF,300,33200.699219,32913.636719,32913.636719,299
RR,300,65973.671875,65686.617188,1495.000000,8734
DRRHA,300,39421.476562,39134.414062,25530.769531,593
MDRRHA,300,39678.128906,39391.066406,25098.212891,589
NDRRHA,300,33200.699219,32913.636719,32913.636719,300
HRRNHA,300,43779.156250,43492.093750,43492.093750,300
SJF,350,39351.308594,39061.273438,39061.273438,349
RR,350,78292.476562,78002.445312,1745.000000,10299
DRRHA,350,47167.242188,46877.207031,30141.464844,710
MDRRHA,350,47093.617188,46803.582031,30098.957031,699
NDRRHA,350,39351.308594,39061.273438,39061.273438,350
HRRNHA,350,50918.433594,50628.398438,50628.398438,350
SJF,400,45389.945312,45098.078125,45098.078125,399
RR,400,90373.710938,90081.843750,1995.000000,11849
DRRHA,400,54028.929688,53737.058594,35040.269531,796
MDRRHA,400,54432.898438,54141.031250,34562.933594,788
NDRRHA,400,45389.945312,45098.078125,45098.078125,400
HRRNHA,400,58114.089844,57822.226562,57822.226562,400
SJF,450,51600.472656,51306.457031,51306.457031,449
RR,450,102786.070312,102492.062500,2245.000000,13424
DRRHA,450,61387.476562,61093.457031,39860.398438,891
MDRRHA,450,62020.390625,61726.378906,39100.792969,891
NDRRHA,450,51600.472656,51306.457031,51306.457031,450
HRRNHA,450,65336.035156,65042.019531,65042.019531,450
SJF,500,57143.296875,56850.238281,56850.238281,499
RR,500,113873.382812,113580.328125,2495.000000,14870
DRRHA,500,67680.101562,67387.046875,44392.625000,982
MDRRHA,500,68378.945312,68085.898438,43684.542969,996
NDRRHA,500,57143.296875,56850.238281,56850.238281,500
HRRNHA,500,72808.882812,72515.820312,72515.820312,500
